p,d,n,n_unique,pattern
200,500,2,2,"['1', '4']"
201,500,2,2,"['1', '4']"
202,505,2,2,"['1', '4']"
203,505,2,2,"['1', '4']"
204,510,2,2,"['1', '4']"
205,510,2,2,"['1', '4']"
206,515,2,2,"['1', '4']"
207,515,2,2,"['1', '4']"
208,520,2,2,"['1', '4']"
209,520,2,2,"['1', '4']"
210,525,2,2,"['1', '4']"
211,525,2,2,"['1', '4']"
212,490,3,2,"['1', '3', '3']"
213,497,3,2,"['1', '3', '3']"
214,497,3,2,"['1', '3', '3']"
215,497,3,2,"['1', '3', '3']"
216,504,3,2,"['1', '3', '3']"
217,504,3,2,"['1', '3', '3']"
218,504,3,2,"['1', '3', '3']"
219,511,3,2,"['1', '3', '3']"
220,511,3,2,"['1', '3', '3']"
221,511,3,2,"['1', '3', '3']"
222,518,3,2,"['1', '3', '3']"
223,518,3,2,"['1', '3', '3']"
224,518,3,2,"['1', '3', '3']"
225,525,3,2,"['1', '3', '3']"
226,525,3,2,"['1', '3', '3']"
227,525,3,2,"['1', '3', '3']"
228,513,4,3,"['1', '1', '3', '4']"
229,513,4,3,"['1', '1', '3', '4']"
230,513,4,3,"['1', '1', '3', '4']"
231,513,4,3,"['1', '1', '3', '4']"
232,522,4,3,"['1', '1', '3', '4']"
233,522,4,3,"['1', '1', '3', '4']"
234,522,4,3,"['1', '1', '3', '4']"
235,522,4,3,"['1', '1', '3', '4']"
236,517,5,2,"['1', '1', '3', '3', '3']"
237,517,5,2,"['1', '1', '3', '3', '3']"
238,517,5,2,"['1', '1', '3', '3', '3']"
239,517,5,2,"['1', '1', '3', '3', '3']"
240,480,1,1,['2']
241,482,1,1,['2']
242,484,1,1,['2']
243,486,1,1,['2']
244,488,1,1,['2']
245,490,1,1,['2']
246,492,1,1,['2']
247,494,1,1,['2']
248,496,1,1,['2']
249,498,1,1,['2']
250,500,1,1,['2']
251,502,1,1,['2']
252,504,1,1,['2']
253,506,1,1,['2']
254,508,1,1,['2']
255,510,1,1,['2']
256,512,1,1,['2']
257,514,1,1,['2']
258,516,1,1,['2']
259,518,1,1,['2']
260,520,1,1,['2']
261,522,1,1,['2']
262,524,1,1,['2']
263,524,2,2,"['1', '3']"
264,520,5,3,"['1', '2', '2', '2', '3']"
265,484,6,2,"['1', '2', '2', '2', '2', '2']"
266,484,6,2,"['1', '2', '2', '2', '2', '2']"
267,484,6,2,"['1', '2', '2', '2', '2', '2']"
268,484,6,2,"['1', '2', '2', '2', '2', '2']"
269,484,6,2,"['1', '2', '2', '2', '2', '2']"
270,486,5,3,"['1', '1', '2', '2', '3']"
271,486,5,3,"['1', '1', '2', '2', '3']"
272,486,5,3,"['1', '1', '2', '2', '3']"
273,486,5,3,"['1', '1', '2', '2', '3']"
274,486,5,3,"['1', '1', '2', '2', '3']"
275,495,5,3,"['1', '1', '2', '2', '3']"
276,483,4,2,"['1', '2', '2', '2']"
277,483,4,2,"['1', '2', '2', '2']"
278,483,4,2,"['1', '2', '2', '2']"
279,483,4,2,"['1', '2', '2', '2']"
280,490,4,2,"['1', '2', '2', '2']"
281,490,4,2,"['1', '2', '2', '2']"
282,490,4,2,"['1', '2', '2', '2']"
283,490,4,2,"['1', '2', '2', '2']"
284,497,4,2,"['1', '2', '2', '2']"
285,497,4,2,"['1', '2', '2', '2']"
286,497,4,2,"['1', '2', '2', '2']"
287,497,4,2,"['1', '2', '2', '2']"
288,480,3,2,"['1', '2', '2']"
289,480,3,2,"['1', '2', '2']"
290,480,3,2,"['1', '2', '2']"
291,485,3,2,"['1', '2', '2']"
292,485,3,2,"['1', '2', '2']"
293,485,3,2,"['1', '2', '2']"
294,490,3,2,"['1', '2', '2']"
295,490,3,2,"['1', '2', '2']"
296,490,3,2,"['1', '2', '2']"
297,495,3,2,"['1', '2', '2']"
298,495,3,2,"['1', '2', '2']"
299,495,3,2,"['1', '2', '2']"
300,500,3,2,"['1', '2', '2']"
301,500,3,2,"['1', '2', '2']"
302,500,3,2,"['1', '2', '2']"
303,505,3,2,"['1', '2', '2']"
304,505,3,2,"['1', '2', '2']"
305,505,3,2,"['1', '2', '2']"
306,510,3,2,"['1', '2', '2']"
307,510,3,2,"['1', '2', '2']"
308,510,3,2,"['1', '2', '2']"
309,515,3,2,"['1', '2', '2']"
310,515,3,2,"['1', '2', '2']"
311,515,3,2,"['1', '2', '2']"
312,520,3,2,"['1', '2', '2']"
313,520,3,2,"['1', '2', '2']"
314,520,3,2,"['1', '2', '2']"
315,525,3,2,"['1', '2', '2']"
316,525,3,2,"['1', '2', '2']"
317,525,3,2,"['1', '2', '2']"
318,504,5,2,"['1', '1', '2', '2', '2']"
319,504,5,2,"['1', '1', '2', '2', '2']"
320,480,2,2,"['1', '2']"
321,480,2,2,"['1', '2']"
322,483,2,2,"['1', '2']"
323,483,2,2,"['1', '2']"
324,486,2,2,"['1', '2']"
325,486,2,2,"['1', '2']"
326,489,2,2,"['1', '2']"
327,489,2,2,"['1', '2']"
328,492,2,2,"['1', '2']"
329,492,2,2,"['1', '2']"
330,495,2,2,"['1', '2']"
331,495,2,2,"['1', '2']"
332,498,2,2,"['1', '2']"
333,498,2,2,"['1', '2']"
334,501,2,2,"['1', '2']"
335,501,2,2,"['1', '2']"
336,504,2,2,"['1', '2']"
337,504,2,2,"['1', '2']"
338,507,2,2,"['1', '2']"
339,507,2,2,"['1', '2']"
340,510,2,2,"['1', '2']"
341,510,2,2,"['1', '2']"
342,513,2,2,"['1', '2']"
343,513,2,2,"['1', '2']"
344,516,2,2,"['1', '2']"
345,516,2,2,"['1', '2']"
346,519,2,2,"['1', '2']"
347,519,2,2,"['1', '2']"
348,522,2,2,"['1', '2']"
349,522,2,2,"['1', '2']"
350,525,2,2,"['1', '2']"
351,525,2,2,"['1', '2']"
352,490,5,2,"['1', '1', '1', '1', '3']"
353,490,5,2,"['1', '1', '1', '1', '3']"
354,490,5,2,"['1', '1', '1', '1', '3']"
355,497,5,2,"['1', '1', '1', '1', '3']"
356,497,5,2,"['1', '1', '1', '1', '3']"
357,497,5,2,"['1', '1', '1', '1', '3']"
358,497,5,2,"['1', '1', '1', '1', '3']"
359,497,5,2,"['1', '1', '1', '1', '3']"
360,480,3,2,"['1', '1', '2']"
361,480,3,2,"['1', '1', '2']"
362,480,3,2,"['1', '1', '2']"
363,484,3,2,"['1', '1', '2']"
364,484,3,2,"['1', '1', '2']"
365,484,3,2,"['1', '1', '2']"
366,488,3,2,"['1', '1', '2']"
367,488,3,2,"['1', '1', '2']"
368,488,3,2,"['1', '1', '2']"
369,492,3,2,"['1', '1', '2']"
370,492,3,2,"['1', '1', '2']"
371,492,3,2,"['1', '1', '2']"
372,496,3,2,"['1', '1', '2']"
373,496,3,2,"['1', '1', '2']"
374,496,3,2,"['1', '1', '2']"
375,500,3,2,"['1', '1', '2']"
376,500,3,2,"['1', '1', '2']"
377,500,3,2,"['1', '1', '2']"
378,504,3,2,"['1', '1', '2']"
379,504,3,2,"['1', '1', '2']"
380,504,3,2,"['1', '1', '2']"
381,508,3,2,"['1', '1', '2']"
382,508,3,2,"['1', '1', '2']"
383,508,3,2,"['1', '1', '2']"
384,512,3,2,"['1', '1', '2']"
385,512,3,2,"['1', '1', '2']"
